,Unnamed: 0,French,English
0,0,chercher,search
1,1,seulement,only
2,2,police,police
3,4,aide,help
4,5,demande,request
5,6,genre,kind
6,7,mois,month
7,9,laisser,let
8,10,mettre,to put
9,11,aucun,no
10,13,eux,them
11,14,ville,city
12,15,chaque,each
13,16,parlé,speak
14,17,arrivé,come
15,18,devrait,should
16,19,bébé,baby
17,20,longtemps,long time
18,21,heures,hours
19,22,pendant,while
20,23,revoir,meet again
21,24,aucune,any
22,25,place,square
23,26,parle,speak
24,27,compris,understood
25,28,savais,knew
26,29,étaient,were
27,30,attention,Warning
28,31,voici,here is
29,32,pourrais,could
30,33,affaire,case
31,34,donner,give
32,35,type,type
33,36,leurs,their
34,37,donné,given
35,38,train,train
36,39,corps,body
37,40,endroit,place
38,41,yeux,eyes
39,42,façon,way
40,43,écoute,listen
41,44,dont,whose
42,45,trouve,find
43,46,premier,first
44,47,perdu,lost
45,48,main,hand
46,49,première,first
47,50,côté,side
48,51,pouvoir,power
49,52,vieux,old
50,53,sois,be
51,54,tiens,here
52,55,matin,morning
53,56,tellement,so much
54,57,enfant,child
55,58,point,point
56,59,venu,came
57,60,suite,after
58,61,pardon,sorry
59,62,venez,come
60,63,devant,in front of
61,65,minutes,minutes
62,66,demandé,request
63,67,chambre,bedroom
64,68,mis,placed
65,69,belle,beautiful
66,70,droit,law
67,71,aimerais,would like to
68,72,aujourd'hui,today
69,73,mari,husband
70,74,cause,cause
71,75,enfin,finally
72,76,espère,hope
73,77,eau,water
74,78,attendez,Wait
75,79,parti,left
76,80,nouvelle,new
77,81,boulot,job
78,82,arrêter,Stop
79,83,dirait,would say
80,84,terre,Earth
81,86,donne,given
82,87,loin,far
83,88,fin,end
84,89,croire,believe
85,90,chérie,sweetheart
86,91,gros,large
87,92,plutôt,rather
88,93,aura,will have
89,94,filles,girls
90,95,jouer,to play
91,96,bureau,office
